,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
110,ROOFTOP,"Av. Manuel L. Barragán 325, Anáhuac, 66450 San Nicolás de los Garza, N.L., Mexico",ChIJTzZKpl2UYoYRSOLXd-JQsJM,MUNCHER,25.743228,-100.313084,1,66450,OK,"establishment,food,point_of_interest,restaurant"
111,APPROXIMATE,"Mundenheim, 67059 Ludwigshafen am Rhein, Germany",ChIJgbbxJXzMl0cRqUuhsFCPQ5o,MUNDENHEIM,49.4719156,8.424614,1,67059,OK,"political,sublocality,sublocality_level_1"
112,,,,MUNSKA GREBA,,,0,,ZERO_RESULTS,
113,,,,MUO CATTARO,,,0,,ZERO_RESULTS,
114,,,,MUR. SREDISCE,,,0,,ZERO_RESULTS,
115,ROOFTOP,"4340 N Knoll Dr, Fresno, CA 93722, USA",ChIJmZ-THj5mlIARZ66MvWeAbxU,MURACH,36.799793,-119.858135,1,93722,OK,"book_store,establishment,point_of_interest,store"
116,,,,MURACHE,,,0,,ZERO_RESULTS,
117,,,,MURADIO,,,0,,ZERO_RESULTS,
118,APPROXIMATE,"Muraj, Croatia",ChIJ4xIEDNpxY0cRIaMRrQXjqtE,MURAJ,45.0511674,14.6004689,1,,OK,"locality,political"
119,,,,MURAUCE,,,0,,ZERO_RESULTS,
120,APPROXIMATE,"Murdan, Iran",ChIJfWh5-Fnb-z4R5lLgEnH5m0E,MURDAN,28.251459,57.089489,1,,OK,"locality,political"
121,,,,MURDICE,,,0,,ZERO_RESULTS,
122,GEOMETRIC_CENTER,"Murki, Poland",ChIJTS1vqqADFEcRZXuywfPD7vw,MUREK,49.7655699,18.6946999,1,43,OK,route
123,APPROXIMATE,"9000 Murska Sobota, Slovenia",ChIJKZKrLeU-b0cRxDjv-fe9hCY,MURESKA SUBOTA,46.6581381,16.1610293,1,9000,OK,"locality,political"
124,APPROXIMATE,"Murine, Croatia",ChIJAZ5uK898e0cRUQqT1XoVybc,MURINA,45.4520443,13.5394896,1,,OK,"locality,political"
125,,,,MURSESA,,,0,,ZERO_RESULTS,
126,APPROXIMATE,"87-815 Mursk, Poland",ChIJR5dq2ZaEHEcRO8dhbf-6O4Q,MURSKA,52.6112676,19.2262966,1,87-815,OK,"locality,political"
